Study_Program_ID,Level,Name,Link,Recommended_Semester,Credits,GF
121,2,Übungen zu Effiziente Algorithmen und Datenstrukturen (IN2003),#,-,,1
121,3,[IN2004] Effiziente Algorithmen und Datenstrukturen II,ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/455704/study-year/1621,,8,1
121,2,Effiziente Algorithmen und Datenstrukturen II,#,6.,8,1
121,3,Effiziente Algorithmen und Datenstrukturen II (IN2004),#,6.,,1
121,2,[IN2007] Complexity Theory,ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/455706/study-year/1621,,8,1
121,3,Komplexitätstheorie,#,5.,8,1
121,2,Komplexitätstheorie (IN2007),#,5.,,1
121,3,[IN2011] Parallele Algorithmen,ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/456364/study-year/1621,,8,1
121,2,Parallele Algorithmen,#,5.,8,1
121,3,Parallele Algorithmen (IN2011),#,-,,1
121,2,[IN2158] Fortgeschrittene Netzwerk- und Graph-Algorithmen,ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/458189/study-year/1621,,8,1
121,3,Fortgeschrittene Netzwerk- und Graph-Algorithmen,#,5.,8,1
121,2,Fortgeschrittene Netzwerk- und Graph-Algorithmen (IN2158),#,5.,,1
121,3,[IN2160] Randomisierte Algorithmen,ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/458193/study-year/1621,,8,1
121,2,Randomisierte Algorithmen,#,5.,8,1
121,3,Randomisierte Algorithmen (IN2160),#,-,,1
121,2,[IN2239] Algorithmic Game Theory,ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/629351/study-year/1621,,5,1
121,3,Algorithmic Game Theory,#,-,5,1
121,2,Algorithmic Game Theory,#,-,,1
121,3,Tutorübungen zu Algorithmic Game Theory (IN2239),#,-,,1
121,2,[IN2211] Auction Theory and Market Design,ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/487476/study-year/1621,,5,1
121,3,Auktionstheorie und Marktdesign,#,-,5,1
121,2,Auktionstheorie und Marktdesign (IN2211),#,-,,1
121,3,Tutorenübung zu Auktionstheorie und Marktdesign (IN2211),#,-,,1
121,2,[IN3410] Ausgewählte Themen aus dem Bereich Algorithmen,ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/1498116/study-year/1621,,5,1
121,3,[IN3410] Ausgewählte Themen aus dem Bereich Algorithmen,#,-,5,1
121,2,,#,-,,1
121,3,[CIT4330006] Communication Networks Modeling and Optimization,ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/3384222/study-year/1621,,5,1
121,2,[CIT4330006] Communication Networks Modeling and Optimization,#,-,5,1
121,3,Communication Networks Modeling and Optimization,#,-,,1
121,2,[IN2229] Computational Social Choice,ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/557075/study-year/1621,,6,1
121,3,Computational Social Choice,#,-,6,1
121,2,Computational Social Choice,#,-,,1
121,3,Tutorübungen zu Computational Social Choice (IN2229),#,-,,1
121,2,[EI74351] Convex Optimization,ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/1408213/study-year/1621,,6,1
121,3,Convex Optimization,#,-,6,1
121,2,Convex Optimization,#,-,,1
121,3,[CIT413031] Fundamentals of Optimization for Machine Learning,ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/3863914/study-year/1621,,5,1
121,2,Fundamentals of Optimization for Machine Learning,#,-,5,1
121,3,Fundamentals of Optimization for Machine Learning,#,-,,1
121,2,Exercises for Fundamentals of Optimization for Machine Learning,#,-,,1
121,3,[IN2360] Höhere Algorithmik,ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/1493752/study-year/1621,,6,1
121,2,[IN2360] Höhere Algorithmik,#,-,6,1
121,3,Höhere Algorithmik,#,-,,1
121,2,[EI7356] Network Planning,ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/965554/study-year/1621,,5,1
121,3,Network Planning,#,-,5,1
121,2,Network Planning (72478),#,2.,,1
121,3,[IN2304] Online and Approximation Algorithms,ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/977328/study-year/1621,,8,1
